_id,aggregation_period,int_id,intersection_name,px,classification,dir,period_name,volume
53,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Evening (17:00-22:00),589
54,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Midday (10:00-16:00),644
55,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,Morning (08:00-12:00),380
56,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,EB,PM Peak Period (16:00-19:00),497
57,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,14 Hour,1669
58,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,Afternoon (12:00-17:00),610
59,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,AM Peak Period (07:00-10:00),468
60,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,Evening (17:00-22:00),472
61,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,Midday (10:00-16:00),704
62,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,Morning (08:00-12:00),569
63,Apr 2018,13466268,Richmond St E / Jarvis St,5,Pedestrians,WB,PM Peak Period (16:00-19:00),388
64,Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,14 Hour,14746
65,Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,Afternoon (12:00-17:00),4984
66,Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,AM Peak Period (07:00-10:00),3713
67,Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,Evening (17:00-22:00),4373
68,Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,Midday (10:00-16:00),5924
69,Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,Morning (08:00-12:00),4469
70,Apr 2018,13466268,Richmond St E / Jarvis St,5,Vehicles,WB,PM Peak Period (16:00-19:00),3335
71,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,14 Hour,173
72,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,Afternoon (12:00-17:00),62
73,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,AM Peak Period (07:00-10:00),35
74,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,Evening (17:00-22:00),62
75,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,Midday (10:00-16:00),74
76,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,Morning (08:00-12:00),51
77,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,EB,PM Peak Period (16:00-19:00),44
78,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,14 Hour,154
79,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,Afternoon (12:00-17:00),66
80,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,AM Peak Period (07:00-10:00),24
81,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,Evening (17:00-22:00),56
82,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,Midday (10:00-16:00),76
83,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,Morning (08:00-12:00),38
84,Apr 2018,13466418,Bay St / Queen St W,64,Cyclists,WB,PM Peak Period (16:00-19:00),39
85,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,14 Hour,8263
86,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,Afternoon (12:00-17:00),3612
87,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,AM Peak Period (07:00-10:00),1434
88,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,Evening (17:00-22:00),2752
89,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,Midday (10:00-16:00),3790
90,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,Morning (08:00-12:00),2189
91,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,EB,PM Peak Period (16:00-19:00),2447
92,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,14 Hour,7061
93,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,Afternoon (12:00-17:00),3273
94,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,AM Peak Period (07:00-10:00),883
95,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,Evening (17:00-22:00),2696
96,Apr 2018,13466418,Bay St / Queen St W,64,Pedestrians,WB,Midday (10:00-16:00),3178
